id,user,text,reply,label
100078,1427183705492135939,RT @Arvind099973: Ramayan in different countries #OmRaut #dissapointed #Bollywood #WakandaForever #DissapointingAdipurush https://t.co/9fG3…,-1,WakandaForever
100079,1273167504,"RT @theblackpanther: Check out the exclusive @IMAX artwork for Marvel Studios’ Black Panther: #WakandaForever, only in theaters November 11…",-1,WakandaForever
100080,617213347,"RT @MarvelStudios: “Show them who we are.” Watch the brand-new trailer for Marvel Studios’ Black Panther: #WakandaForever, only in theaters…",-1,WakandaForever
100081,506628946,"RT @MarvelStudios: “Show them who we are.” Watch the brand-new trailer for Marvel Studios’ Black Panther: #WakandaForever, only in theaters…",-1,WakandaForever
100082,1273167504,"RT @theblackpanther: Check out the exclusive @dolby:artwork for Marvel Studios’ Black Panther: #WakandaForever, only in theaters November 1…",-1,WakandaForever
100083,1441186622582652929,RT @MCU_Direct: Iron Man - Ironheart  More photos of Tony Stark parallels in #WakandaForever: https://t.co/4CgkM2OnEX https://t.co/EETEdZAZ…,-1,WakandaForever
100084,1192643174218510336,RT @maxinepark: Just a handful of the some of the absolutely incredible #poster #art for #MarvelStudios #BlackPanther #WakandaForever 🖤💜 ht…,-1,WakandaForever
100085,1273167504,"RT @theblackpanther: Check out the exclusive @reald3d artwork for Marvel Studios’ Black Panther: #WakandaForever, only in theaters November…",-1,WakandaForever
100086,1540171042160779266,RT @maxinepark: Just a handful of the some of the absolutely incredible #poster #art for #MarvelStudios #BlackPanther #WakandaForever 🖤💜 ht…,-1,WakandaForever
100087,1273167504,"RT @theblackpanther: Check out the exclusive @screenxusa artwork for Marvel Studios’ Black Panther: #WakandaForever, only in theaters Novem…",-1,WakandaForever
100088,1476930452250251264,"RT @Spagggs: “In my culture, death is not the end. It is more of a stepping off point.” #WakandaForever https://t.co/OfyZo6UEzg",-1,WakandaForever
100089,480654950,RT @ironhnews: First look at #Ironheart’s MK 2 Armor.  #WakandaForever https://t.co/gVdpnzhfMr,-1,WakandaForever
100090,1405213794393935874,RT @theblackpanther: #WakandaForever. November 11. https://t.co/4kmmiMYWsX,-1,WakandaForever
100091,1379848917576265732,Shuri será a nossa Pantera Negra em #WakandaForever ?  #BlackPantherWakandaForever https://t.co/bxRGoF98Sw,-1,WakandaForever
100092,1400115427947126788,RT @primetimebrostv: The legacy continues.   #Ironheart #WakandaForever https://t.co/24F2emN9s1,-1,WakandaForever
100093,1172931410,RT @topsakal_nuray: Minicik bedende koca koca yükleri var bizim yavrularımız çok yoruldular dayanacak gücleri kalmadı lütfen yardım edelim…,-1,WakandaForever
100094,2480595828,"RT @DonnieSimpson: We’re all going to miss Chadwick Boseman, but this trailer looks AMAZING!!! I can’t wait for November 11th to get here.…",-1,WakandaForever
100095,3954412342,"RT @Friday56580240: I've got more Atlantean vibe from single #WakandaForever trailer clips than whole Aquaman movie :⁠,⁠-⁠) https://t.co/EH…",-1,WakandaForever
100096,1427686277441331213,"RT @MarvelStudios: “Show them who we are.” Watch the brand-new trailer for Marvel Studios’ Black Panther: #WakandaForever, only in theaters…",-1,WakandaForever
100097,1480798913724661769,"RT @MarvelStudios: “Show them who we are.” Watch the brand-new trailer for Marvel Studios’ Black Panther: #WakandaForever, only in theaters…",-1,WakandaForever
100098,197890195,So the internet went ballistic and went in hard on the cg in the #SheHulk trailer but yet nobody is gonna even mention that unreal cartoony jerky motion cgi in the #WakandaForever trailer? Ok cool https://t.co/ljTdP03rES,-1,WakandaForever
100099,75193930,"I played the new Black Panther #WakandaForever trailer to a room of black &amp; brown first graders, and they broke into cheers at the end. These characters mean a lot to my students.",-1,WakandaForever
100100,4165753754,"RT @theblackpanther: The legacy continues. Tickets are now on sale for Marvel Studios’ Black Panther: #WakandaForever, only in theaters Nov…",-1,WakandaForever
100101,1424818460098539525,"RT @MarvelStudios: “Show them who we are.” Watch the brand-new trailer for Marvel Studios’ Black Panther: #WakandaForever, only in theaters…",-1,WakandaForever
100102,301084568,RT @AMCTheatres: Black Panther: #WakandaForever #FilmedForIMAX with up to 26% more picture! 🎟️https://t.co/S1sCD4d1pw https://t.co/tplTecNX…,-1,WakandaForever
100103,1409806052745519104,Quelques images de #Namor grand méchant que nous découvrirons dans #BlackPantherWakandaForever   #SynOptiVerse #SynOptiVerseDeTonyz #MarvelStudios #Marvel #MCU #BlackPanther2 #BlackPanther #WakandaForever https://t.co/df9pz7SSNh,-1,WakandaForever
100104,1418948954071478277,"RT @MarvelStudios: “Show them who we are.” Watch the brand-new trailer for Marvel Studios’ Black Panther: #WakandaForever, only in theaters…",-1,WakandaForever
100105,1539170443965366272,RT @theblackpanther: #WakandaForever. November 11. https://t.co/4kmmiMYWsX,-1,WakandaForever
100106,1353535279,RT @MCU_Direct: #WakandaForever's Namor is different from his comic counterpart in 4 key ways! Our breakdown: https://t.co/6fivLTHbTc https…,-1,WakandaForever
100107,1395587616943316992,RT @AMCTheatres: Check out this exclusive #DolbyCinema Black Panther: #WakandaForever poster! 🎟️https://t.co/S1sCD4d1pw https://t.co/68gmC6…,-1,WakandaForever
100108,1565881703301873666,RT @MarvelStudios: #WakandaForever. November 11. https://t.co/nKD4YxxOJ3,-1,WakandaForever
100109,1395587616943316992,RT @AMCTheatres: Black Panther: #WakandaForever #FilmedForIMAX with up to 26% more picture! 🎟️https://t.co/S1sCD4d1pw https://t.co/tplTecNX…,-1,WakandaForever
100110,1449981114559434752,RT @MrNiceGuy513: I’m going to see #BlackPantherWakandaForever for the plot.   The Plot: #WakandaForever https://t.co/1RYZeWyh0T,-1,WakandaForever
100111,1330629803687501826,NEW #BlackPanther2 4K HIGH-RES OFFICIAL PIC! #WakandaForever  🔥LIKE &amp; RETWEET🔥  #4K #Namor #Namora #ChadwickBoseman #Shuri #MCU #letitiawright #Ironheart #BlackPantherWakandaForever https://t.co/bs7YUwJNxn,-1,WakandaForever
100112,230423693,RT @Arvind099973: Ramayan in different countries #OmRaut #dissapointed #Bollywood #WakandaForever #DissapointingAdipurush https://t.co/9fG3…,-1,WakandaForever
100113,2919019355,RT @MarvelStudios: #WakandaForever. November 11. https://t.co/nKD4YxxOJ3,-1,WakandaForever
100114,805579079730728960,RT @jrvsscarlet: from IRONMAN to IRONHEART #WakandaForever https://t.co/mehEMO6uPA,-1,WakandaForever
100115,346265272,RT @primetimebrostv: The legacy continues.   #Ironheart #WakandaForever https://t.co/24F2emN9s1,-1,WakandaForever
100116,1218136158368124928,Pôster inédito de “WAKANDA PARA SEMPRE”. Filme deve chegar aos cinemas em 10 de novembro #WakandaForever https://t.co/2WvJVTYrLf,-1,WakandaForever
100117,805579079730728960,RT @wandaslizzie: TRULY NOT READY TO CRY #WakandaForever https://t.co/npKbfHP6Of,-1,WakandaForever
100118,1454461723369422857,RT @RottenTomatoes: Our first look at #Ironheart’s armor in Black Panther: #WakandaForever. https://t.co/XWfxlXi11n,-1,WakandaForever
100119,805579079730728960,RT @NamorNews: “His people…do not call him general or king. They call him Kukulkan. The feather serpent god.”  #Namor #WakandaForever https…,-1,WakandaForever
100120,95112489,Perez. I know it's hard not being a piece of shit but just take a second and you might learn something.  #WakandaForever #RecastTChalla https://t.co/uRozimKyNe https://t.co/xMx8udYz1s,-1,WakandaForever
100121,805579079730728960,RT @ClobberinTyme: Ruth Carter coming for that Best Costume Design award again #WakandaForever https://t.co/Cym2jAZ7hp,-1,WakandaForever
100122,721424066188587008,RT @Kinoel82: El plan oculto de Marvel/Disney para la fase 7 xD #WakandaForever https://t.co/vSKh4xr4Vo,-1,WakandaForever
100123,2936366100,"RT @MarvelStudios: The legacy continues. Tickets are now on sale for Marvel Studios’ Black Panther: #WakandaForever, only in theaters Novem…",-1,WakandaForever
100124,1478171581084012544,The new Black Panther! #WakandaForever https://t.co/kyj6DH22us,-1,WakandaForever
100125,1336863396218585090,RT @WarpsiwaH: Cast🙍‍♀️: Chiharu Miyazawa #HouseOfTheDragon #dreamfacereveal #StopHazaraGenocide #WakandaForever #FirstDates   Full Movie 🎬…,-1,WakandaForever
100126,1053387331380699136,"RT @MarvelStudios: Check out the exclusive @reald3d artwork for Marvel Studios’ Black Panther: #WakandaForever, only in theaters November 1…",-1,WakandaForever
100127,1376385490476224515,RT @3isfelix: #chriseanrock #Blueface #WakandaForever #TiktoClockGMA https://t.co/uxTN8ePrpc,-1,WakandaForever
100128,1700653531,"RT @MarvelStudios: Check out the exclusive @screenxusa artwork for Marvel Studios’ Black Panther: #WakandaForever, only in theaters Novembe…",-1,WakandaForever
100129,143550411,WoW 👀 #IToldYall #RoeVsWade Was just the beginning! Clarence Stephen Thomas #Django HE wouldn't B on the #SCOTUS if it wasn't 4 #BlackHistory + #AmericanHistory #WakandaForever ✊🏿 #VOTE #RideOrDie = #Roevember IT'S NOT JUST A Black/White thang OUR DEMOCRACY/FREEDOM IS AT STAKE! https://t.co/ToqEeJGZh5,-1,WakandaForever
